dataset,disease,tissue,cell_type,gene,both,onlyA,onlyB,neither,originally_zero,disagreement
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells SPINK4,SPINK4,4,0,0,0,4,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,CA1,947,0,0,0,947,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,CA2,739,0,0,0,739,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,TMIGD1,980,0,0,0,980,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,MEP1A,666,0,0,0,666,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes CA1 CA2 CA4-,CA1,1904,0,0,0,1904,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes CA1 CA2 CA4-,CA2,1274,0,0,0,1274,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1-,MUC2,11,0,0,0,11,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,LGR5,809,0,0,0,809,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,OLFM4,148,0,0,0,148,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,MKI67,73,0,0,0,73,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,CHGA,8,0,0,0,8,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,GCG,38,0,0,0,38,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,GIP,0,0,53,0,53,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,CCK,0,0,52,0,52,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4,OLFM4,124,0,0,0,124,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4,LGR5,305,0,0,0,305,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,OLFM4,87,0,0,0,87,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,LGR5,488,0,0,0,488,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,ASCL2,374,0,0,0,374,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,OLFM4,82,0,0,0,82,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,PCNA,0,0,87,0,87,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,LGR5,397,0,0,0,397,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,ASCL2,349,0,0,0,349,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,SOX9,232,0,0,0,232,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,TERT,406,0,0,0,406,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Paneth cells,LYZ,9,0,0,0,9,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Paneth cells,DEFA5,4,0,0,0,4,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,BEST4,4,55,0,0,59,0.9322033898305084
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,OTOP2,6,79,0,0,85,0.9294117647058824
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,CA7,6,33,0,0,39,0.8461538461538461
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,GUCA2A,55,4,0,0,59,0.06779661016949153
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,GUCA2B,17,86,0,0,103,0.8349514563106796
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,SPIB,2,9,0,0,11,0.8181818181818182
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,CFTR,74,21,0,0,95,0.22105263157894736
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,MUC2,0,0,0,0,0,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,TFF1,31,8,0,0,39,0.20512820512820512
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,TFF3,3,0,0,0,3,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,AGR2,5,1,0,0,6,0.16666666666666666
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,SPDEF,45,0,0,0,45,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Tuft cells,POU2F3,0,46,0,0,46,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Tuft cells,DCLK1,0,76,0,0,76,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells SPINK4,MUC2,8,0,0,0,8,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells SPINK4,SPINK4,4,0,0,0,4,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,CA1,706,241,0,0,947,0.25448785638859556
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,CA2,56,683,0,0,739,0.9242219215155616
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,TMIGD1,319,661,0,0,980,0.6744897959183673
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,MEP1A,222,444,0,0,666,0.6666666666666666
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes CA1 CA2 CA4-,CA1,1265,639,0,0,1904,0.33560924369747897
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes CA1 CA2 CA4-,CA2,502,772,0,0,1274,0.6059654631083202
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1-,MUC2,11,0,0,0,11,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,LGR5,314,495,0,0,809,0.6118665018541409
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,OLFM4,140,8,0,0,148,0.05405405405405406
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,MKI67,16,57,0,0,73,0.7808219178082192
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,CHGA,2,6,0,0,8,0.75
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,GCG,2,36,0,0,38,0.9473684210526315
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,GIP,0,0,0,53,53,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,CCK,0,0,0,52,52,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4,OLFM4,117,7,0,0,124,0.056451612903225805
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4,LGR5,23,282,0,0,305,0.9245901639344263
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,OLFM4,87,0,0,0,87,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,LGR5,294,194,0,0,488,0.3975409836065574
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,ASCL2,352,22,0,0,374,0.058823529411764705
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,OLFM4,80,2,0,0,82,0.024390243902439025
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,PCNA,0,0,45,42,87,0.5172413793103449
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,LGR5,207,190,0,0,397,0.47858942065491183
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,ASCL2,301,48,0,0,349,0.13753581661891118
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,SOX9,232,0,0,0,232,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,TERT,14,392,0,0,406,0.9655172413793104
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Paneth cells,LYZ,9,0,0,0,9,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Paneth cells,DEFA5,4,0,0,0,4,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,BEST4,4,55,0,0,59,0.9322033898305084
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,OTOP2,6,79,0,0,85,0.9294117647058824
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,CA7,6,33,0,0,39,0.8461538461538461
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,GUCA2A,55,4,0,0,59,0.06779661016949153
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,GUCA2B,17,86,0,0,103,0.8349514563106796
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,SPIB,2,9,0,0,11,0.8181818181818182
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes BEST4,CFTR,74,21,0,0,95,0.22105263157894736
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,MUC2,0,0,0,0,0,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,TFF1,31,8,0,0,39,0.20512820512820512
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,TFF3,3,0,0,0,3,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,AGR2,5,1,0,0,6,0.16666666666666666
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1,SPDEF,45,0,0,0,45,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Tuft cells,POU2F3,0,46,0,0,46,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Tuft cells,DCLK1,0,76,0,0,76,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells SPINK4,MUC2,8,0,0,0,8,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells SPINK4,SPINK4,4,0,0,0,4,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,CA1,706,241,0,0,947,0.25448785638859556
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,CA2,56,683,0,0,739,0.9242219215155616
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,TMIGD1,319,661,0,0,980,0.6744897959183673
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes TMIGD1 MEP1A,MEP1A,222,444,0,0,666,0.6666666666666666
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes CA1 CA2 CA4-,CA1,1265,639,0,0,1904,0.33560924369747897
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enterocytes CA1 CA2 CA4-,CA2,502,772,0,0,1274,0.6059654631083202
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Goblet cells MUC2 TFF1-,MUC2,11,0,0,0,11,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,LGR5,314,495,0,0,809,0.6118665018541409
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,OLFM4,140,8,0,0,148,0.05405405405405406
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Epithelial Cycling cells,MKI67,16,57,0,0,73,0.7808219178082192
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,CHGA,2,6,0,0,8,0.75
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,GCG,2,36,0,0,38,0.9473684210526315
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,GIP,0,53,0,0,53,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Enteroendocrine cells,CCK,0,52,0,0,52,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4,OLFM4,117,7,0,0,124,0.056451612903225805
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4,LGR5,23,282,0,0,305,0.9245901639344263
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,OLFM4,87,0,0,0,87,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,LGR5,294,194,0,0,488,0.3975409836065574
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 LGR5,ASCL2,352,22,0,0,374,0.058823529411764705
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,OLFM4,80,2,0,0,82,0.024390243902439025
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,PCNA,45,42,0,0,87,0.4827586206896552
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,LGR5,207,190,0,0,397,0.47858942065491183
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,ASCL2,301,48,0,0,349,0.13753581661891118
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,SOX9,232,0,0,0,232,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Stem cells OLFM4 PCNA,TERT,14,392,0,0,406,0.9655172413793104
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Paneth cells,LYZ,9,0,0,0,9,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,lamina propria of mucosa of colon,Paneth cells,DEFA5,4,0,0,0,4,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes BEST4,BEST4,92,0,0,0,92,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes BEST4,OTOP2,112,0,0,0,112,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes BEST4,CA7,0,0,105,0,105,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes BEST4,GUCA2A,85,0,0,0,85,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes BEST4,GUCA2B,174,0,0,0,174,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes BEST4,SPIB,183,0,0,0,183,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes BEST4,CFTR,384,0,0,0,384,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Goblet cells MUC2 TFF1,MUC2,14,0,0,0,14,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Goblet cells MUC2 TFF1,TFF1,95,0,0,0,95,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Goblet cells MUC2 TFF1,TFF3,38,0,0,0,38,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Goblet cells MUC2 TFF1,AGR2,179,0,0,0,179,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Goblet cells MUC2 TFF1,SPDEF,470,0,0,0,470,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Tuft cells,POU2F3,168,0,0,0,168,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Tuft cells,DCLK1,0,172,0,70,242,0.7107438016528925
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Goblet cells SPINK4,MUC2,74,0,0,0,74,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Goblet cells SPINK4,SPINK4,41,0,0,0,41,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes TMIGD1 MEP1A,CA1,1351,0,0,0,1351,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes TMIGD1 MEP1A,CA2,561,0,0,0,561,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes TMIGD1 MEP1A,TMIGD1,2094,0,0,0,2094,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes TMIGD1 MEP1A,MEP1A,2496,0,0,0,2496,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes CA1 CA2 CA4-,CA1,2041,0,0,0,2041,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enterocytes CA1 CA2 CA4-,CA2,1713,0,0,0,1713,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Goblet cells MUC2 TFF1-,MUC2,69,0,0,0,69,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Epithelial Cycling cells,LGR5,0,0,1211,0,1211,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Epithelial Cycling cells,OLFM4,448,0,0,0,448,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Epithelial Cycling cells,MKI67,534,0,0,0,534,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enteroendocrine cells,CHGA,51,0,0,0,51,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enteroendocrine cells,GCG,68,0,0,0,68,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enteroendocrine cells,GIP,0,11,0,87,98,0.11224489795918367
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Enteroendocrine cells,CCK,4,0,94,0,98,0.9591836734693877
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4,OLFM4,512,0,0,0,512,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4,LGR5,0,0,957,0,957,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 LGR5,OLFM4,259,0,0,0,259,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 LGR5,LGR5,0,0,863,0,863,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 LGR5,ASCL2,782,0,0,0,782,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 PCNA,OLFM4,274,0,0,0,274,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 PCNA,PCNA,433,0,0,0,433,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 PCNA,LGR5,0,0,832,0,832,1.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 PCNA,ASCL2,783,0,0,0,783,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 PCNA,SOX9,669,0,0,0,669,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Stem cells OLFM4 PCNA,TERT,842,0,0,0,842,0.0
63ff2c52-cb63-44f0-bac3-d0b33373e312,Crohn disease,colonic epithelium,Paneth cells,LYZ,3,0,0,0,3,0.0
