disease,tissue,cell_type,gene,cutoff,f1,precision,recall,rank
Crohn disease,left colon,stem cells olfm4,OLFM4,0.5,0.053,0.0284,0.3866,1
Crohn disease,left colon,stem cells olfm4 lgr5,OLFM4,0.5,0.129,0.0691,0.9824,1
Crohn disease,left colon,stem cells olfm4 pcna,OLFM4,0.5,0.0455,0.0233,0.9417,1
Crohn disease,left colon,stem cells olfm4 pcna,DUT,0.5,0.0166,0.0084,1.0,2
Crohn disease,sigmoid colon,enterocytes ca1 ca2 ca4,SELENBP1,0.5,0.4978,0.3314,1.0,1
Crohn disease,sigmoid colon,enterocytes ca1 ca2 ca4,PKIB,0.5,0.489,0.3236,1.0,2
Crohn disease,sigmoid colon,enterocytes tmigd1 mep1a,MEP1A,0.5,0.3315,0.1987,1.0,1
Crohn disease,sigmoid colon,enteroendocrine cells,MS4A8,0.5,0.0032,0.0016,1.0,1
Crohn disease,sigmoid colon,epithelial cycling cells,TUBB4B,0.5,0.0545,0.028,1.0,1
Crohn disease,sigmoid colon,goblet cells spink4,LRRC26,0.5,0.0066,0.0033,1.0,1
Crohn disease,sigmoid colon,paneth cells,ITLN2,0.5,0.0114,0.0058,1.0,1
Crohn disease,sigmoid colon,tuft cells,BMX,0.5,0.0123,0.0062,1.0,1
normal,colon,enterocytes ca1 ca2 ca4,SLC26A3,0.5,0.5578,0.3868,1.0,1
normal,colon,enterocytes ca1 ca2 ca4,KRT19,0.5,0.5228,0.3565,0.9797,2
normal,colon,enterocytes ca1 ca2 ca4,SELENBP1,0.5,0.5118,0.3595,0.8884,3
normal,colon,enterocytes ca1 ca2 ca4,SLC26A2,0.5,0.4954,0.3337,0.9615,4
normal,colon,enteroendocrine cells,MS4A8,0.5,0.0155,0.0078,0.9902,1
normal,colon,enteroendocrine cells,FEV,0.5,0.0143,0.0072,1.0,2
normal,colon,enteroendocrine cells,PYY,0.5,0.0077,0.0039,0.96,3
normal,colon,enteroendocrine cells,PCSK1N,0.5,0.0056,0.0028,1.0,4
normal,colon,epithelial cycling cells,TOP2A,0.5,0.0933,0.0498,0.7397,1
normal,colon,goblet cells muc2 tff1,SPINK4,0.5,0.1442,0.0777,1.0,1
normal,colon,goblet cells spink4,SPINK4,0.5,0.0133,0.0067,1.0,1
normal,colon,goblet cells spink4,ITLN1,0.5,0.0089,0.0045,1.0,2
normal,colon,paneth cells,DEFA6,0.5,0.0006,0.0003,1.0,1
